iter	RMSE
0	4689432.377
1	4550659.585
2	4425528.24133	4311995.48944	4202441.845	5	4103832.6	396	4011239.7	387	3921296.8	378	3836738.9	39	3760579.810	10	3688630.111	11	3629261.612	12	3575979.013	13	3522524.614	14	3471621.315	15	3423378.816	16	3377466.117	17	3336004.818	18	3298885.819	19	3263477.820	20	3230215.721	21	3200845.022	22	3172530.023	23	3148550.124	24	3119043.325	25	3098257.326	26	3078924.427	27	3055343.28	228	303636229	2929	301767530	2930	29984231	29131	29806232	28932	29651633	28733	29491634	28534	29342735	28435	29204936	28336	29065437	28137	2889773.753838	2876447.313939	2865490.724040	2850267.29441	2840374.294442	2827543.387443	2814870.363444	28072245	27445	2798446	271446	2788213.008
47	2779577.27
48	2771908.69
49	2762538.124
50	2754524.843
51	2746661.885
52	2738935.334
53	2731531.973
54	2726099.152
55	2718991.713
56	2710107.861
57	2703750.424
58	2697991.901
59	2692283.535
60	2685937.49
61	2681381.502
62	2677178.52
63	2673144.78
64	2666245.504
65	2660938.642
66	2652471.115
67	2647336.843
68	2643395.326
69	2638020.691
70	2633452.852
71	2626507.973
72	2621052.084
73	2617976.392
74	2613968.337
75	2608534.569
76	2604694.171
77	2601038.898
78	2597557.085
79	2592534.284
80	2588308.078
81	2585284.373
82	2582227.007
83	2580695.229
84	2576710.662
85	2573942.841
86	2571853.242
87	2570476.14
88	2567757.696
89	2565017.338
90	2562130.379
91	2557121.371
92	2554773.933
93	2551804.537
94	2548860.591
95	2542768.807
96	2541447.239
97	2538407.375
98	2536450.931
99	2532480.886
100	2526651.232
101	2524271.341
102	2521540.142
103	2518731.363
104	2516174.419
105	2511912.345
106	2509748.461
107	2506398.075
108	2502420.61
109	2497636.047
110	2495998.325
111	2494072.341
112	2491059.78
113	2488951.667
114	2485857.67
115	2484609.998
116	2480547.422
117	2477008.927
118	2475773.981
119	2471256.4120120	2469325.211
121	2465953.444
122	2463766.792
123	2461690.248
124	2459958.354
125	2457365.244
126	2455355.903
127	2453200.098
128	2449370.908
129	2445810.553
130	2443865.7131131	2440452.9132132	2439226.4133133	2436611.134	134	2436308.135	135	2434761.136	136	2432569.137	137	2429590.138	2404860.893
139	2403706.851
140	2403463.299
141	2400317.061
142	2398052.79
143	2397308.384
144	2394779.579
145	2393198.596
146	2390961.277
147	2388529.059
148	2385144.238
149	2381153.089
150	2378814.931
151	2378014.18
1152	2396297.5851153	2394459.6991154	2392015.8391155	2390462.0581156	2389344.46
157	2386381.507
158	2381432.12
159	2378767.818
160	2378513.814
161	2375050.162	162	2374424.163	163	2371846164	2349927.526
165	2347582.976
166	2347304.467
167	2345612.287
168	2343808.637
169	2341845.605
170	2339387.297
171	2337728.601
172	2334692.737
173	2332178.67
174	2330300.104
175	2325556.248
176	2324030.044
177	2320161.439
178	2319898.937
179	2317951.207
180	2315156.726
181	2313418.22
182	2310347.278
183	2310056.601
184	2307191.139
185	2306592.342
186	2306063.523
187	2305551.7711188	2302915.6071189	2301408.7431190	2298638.4581191	2297619.0431192	2297209.0541193	2293684.3171194	2292986.6519195	2292593.0519196	2292385.0197197	2290119.1198198	2287603.199	199	2285737.200	200	2283324.201	201	2279911.202	202	2277411.203	203	2274511.204	204	2273392.205	205	2271852.206	206	2271446.207	207	2268015.208	208	2263824.209	209	2262404.210	210	2259188.211	211	2257206.212	212	2255709.149
213	2254284.836
214	2254023.843
215	2253052.246
216	2251086.855
217	2250758.95
218	2249186.503
219	2244526.148
220	2243785.673
221	2241741.835
222	2239063.844
223	2237782.825
224	2237544.995
225	2235407.758
226	2233536.099
227	2231512.982
228	2229944.722
229	2227551.419
230	2227129.886
231	2225410.376
232	2223546.262
233	2221407.018
234	2219283.283
235	2216242.316
236	2215832.304
237	2215648.72
238	2214108.14
239	2212022.435
240	2211761.293
241	2211520.753
242	2210967.437
243	2209641.456
244	2207929.453
245	2207688.437
246	2205069.881
247	2204713.957
248	2204512.462
249	2201818.108
250	2199964.927
251	2198051.27
252	2196920.004
253	2196486.937
254	2193495.599
255	2191830.66
256	2187795.076
257	2185987.911
258	2183504.686
259	2183379.693
260	2181290.53
261	2181167.416
262	2178891.064
263	2175266.6442264	2172668.0612265	2171747.0412266	2169269.4462267	2168123.1242268	2168004.98
269	2166867.978
270	2164945.164
271	2163495.489
272	2161279.072
273	2158730.989
274	2157302.0552275	2154202.7212276	2151942.527277	2149978.607
278	2148853.835
279	2147053.306
280	2144923.539
281	2142996.2628282	2140617.032283	2138964.48
284	2136745.437
285	2135558.559
286	2134123.066
287	2132842.893
288	2131228.492
289	2129335.189
