iter	Passed	Remaining
0	81	81244
1	153	76712
2	236	78727
3	318	79401
4	391	77908
5	465	77069
6	540	76690
7	614	76209
8	682	75101
9	755	74839
10	829	74575
11	904	74430
12	972	73838
13	1042	73442114	1108	72771115	1182	72714116	1248	72210117	1321	72092118	1391	71869119	1469	72000220	1540	71818221	1617	71896222	1689	71748223	1757	71475224	1841	71810225	1920	71927226	1988	71674227	2051	71208228	2110	70652229	2159	69836330	2219	69374331	2282	69050332	2347	68799333	2428	69007334	2504	69062335	2571	68853336	2641	68749337	2723	68943338	2795	68874339	2853	68482440	2919	68291441	2987	68149442	3060	68113443	3128	67971444	3201	67949445	3274	67910446	3364	68216
47	3430	68036
48	3501	67951449	3574	67906
50	3644	67823
51	3702	67499552	3762	67236553	3828	67075554	3899	67008555	3973	66985556	4039	66828557	4101	66618558	4170	66512559	4233	66329660	4309	66331661	4374	66187662	4450	66196663	4511	65979664	4587	65986665	4661	65963666	4732	65896667	4806	65883668	4874	65764669	4950	65777770	5022	65712771	5086	65554772	5145	65342773	5214	65253774	5287	65211775	5368	65265776	5435	65151777	5504	65068
78	5572	64960
79	5635	64807880	5707	64758881	5781	64728
82	5853	64675
83	5922	64582
84	6004	64639
85	6073	64543
86	6137	64413
87	6191	64162
88	6259	64071
89	6316	63867
90	6387	63800
91	6452	63684
92	6525	63644
93	6606	63671
94	6679	63627
95	6759	63652
96	6844	63721
97	6915	63648
98	6985	63573
99	7057	63521
100	7127	63438
101	7204	63423
102	7268	63295
103	7329	63143
104	7410	63163
105	7509	63332
106	7585	63306
107	7654	63218
108	7726	63156
109	7797	63086
110	7859	62949
111	7910	62720
112	7967	62540
113	8034	62444
114	8101	62345
115	8166	62233
116	8242	62207
117	8320	62188
118	8390	62116
119	8452	619831120	8524	61925
121	8596	61863
122	8670	61821
123	8734	61706
124	8804	61630
125	8866	61505
126	8939	61452
127	9009	61375
128	9091	61382
129	9160	61308
130	9212	611091131	9265	609281132	9331	608271133	9389	606781134	9454	605771135	9520	604841136	9591	604191137	9658	60328138	9505	58878
139	9584	58873
140	9647	58774
141	9726	58769
142	9787	58658
143	9866	58647
144	9927	58538
145	9989	58430
146	10063	58392
147	10132	58331
148	10204	58282
149	10276	58230
150	10339	58133
151	10401	58028
152	152	10705	59153	153	10770	59154	154	10834	59155	155	10905	58156	156	10973	58157	157	11035	58158	158	11103	58159	159	11170	58160	160	11238	58161	161	11303	58162	162	11372	58163	163	11433	58164	11264	57003
165	11334	56945
166	11401	56871
167	11472	56815
168	11547	56779
169	11616	56713
170	11678	56618
171	11750	56566
172	11816	56489
173	11910	56538
174	11981	56484
175	12051	56422
176	12112	56320
177	12188	56288
178	12258	56225
179	12331	56175
180	12414	56173
