id,prediction
1,6750646
2,5286695
3,3852750
4,8286605
5,33595745
6,7085944
7,4509499
8,3487972
9,6863715
10,10110424
11,6324693
12,12123848
13,6330455
14,6406232
15,5908280
16,9309626
17,13445587
18,3828450
19,6217182
20,4922756
21,4309237
22,13400209
23,7158345
24,6992220
25,5674530
26,4570394
27,12205132
28,6857896
29,3544187
30,5645150
31,6495988
32,7698778
33,5958100
34,3253421
35,25304833
36,6742718
37,4762909
38,5054855
39,10236479
40,38743541
41,7169736
42,7218291
43,6429413
44,7430217
45,5344521
46,6700600
47,5706269
48,4794281
49,7114932
50,5104136
51,4921142
52,5371984
53,6093700
54,7744758
55,6156900
56,5593746
57,9088090
58,6160272
59,6721752
60,5677547
61,10674852
62,4358065
63,7359979
64,5064490
65,4818793
66,5744410
67,11206737
68,5277310
69,2912092
70,6769070
71,5475558
72,7948500
73,7453580
74,6346099
75,7694511
76,3649711
77,6890657
78,4857700
79,6986712
80,5146248
81,5948753
82,5926735
83,1964850
84,11742235
85,6171787
86,4877944
87,5725556
88,9703636
89,7539549
90,5764337
91,4581490
92,4550992
93,6015000
94,5440725
95,5919479
96,6171900
97,5082403
98,6227310
99,6876312
100,8492349
101,6501313
102,10560847
103,5169014
104,6575134
105,6478955
106,5485111
107,5910591
108,17537548
109,4715600
110,4648698
111,4927316
112,5855009
113,5118550
114,12298685
115,5367400
116,8656189
117,7587628
118,5778400
119,3462271
120,6571821
121,6374012
122,5024134
123,8653516
124,8528983
125,4693129
126,5924751
127,4506300
128,6206420
129,4527180
130,9404002
131,4969868
132,5732255
133,8408160
134,4337669
135,6398313
136,5063540
137,16149185
138,7035267
139,3691446
140,7924264
141,4151446
142,5915093
143,5899514
144,7543488
145,8255612
146,5712990
147,8193516
148,14291285
149,7017437
150,12251101
151,4537900
152,4742099
153,17699691
154,6713352
155,13682511
156,8677287
157,5976606
158,5007519
159,9843372
160,3641749
161,4824086
162,9432145
163,4600434
164,6407167
165,5248111
166,11114062
167,8777354
168,8057078
169,10438442
170,5756246
171,4398371
172,6428865
173,6408788
174,8340144
175,5033567
176,11708290
177,5809041
178,6979063
179,14499103
180,6862114
181,6267663
182,7399230
183,6027853
184,5708960
185,6369860
186,4508089
187,20740304
188,4969570
189,4829850
190,4663507
191,6019856
192,13700295
193,20693392
194,3636505
195,10136226
196,7183028
197,6570622
198,5327955
199,5084216
200,4903118
201,5216540
202,17415162
203,4923709
204,11015866
205,5595768
206,13212910
207,5372339
208,8064618
209,14248411
210,9618198
211,5030900
212,3964516
213,6625312
214,8792104
215,4076988
216,3693728
217,6474854
218,8464974
219,2720841
220,2373026
221,5452761
222,8188474
223,4515093
224,4607439
225,14805813
226,8662402
227,5921600
228,6262710
229,6306406
230,12264527
231,7442682
232,5429495
233,6091894
234,4900971
235,9670032
236,4842677
237,4224580
238,6025959
239,7832828
240,8066010
241,5840550
242,5954000
243,6808407
244,4698620
245,7043441
246,5510611
247,5541600
248,9135320
249,4234383
250,4161437
251,6024550
252,4754725
253,4892290
254,6069000
255,4022075
256,5891555
257,11539653
258,4385576
259,4584710
260,5087500
261,2269446
262,4579737
263,13527577
264,6581381
265,5297228
266,10699074
267,4176400
268,8298784
269,4930365
270,8305782
271,12821264
272,4317852
273,3598619
274,5046709
275,5105921
276,7336990
277,3820127
278,9398405
279,5959015
280,7734130
281,9517888
282,5721988
283,5012127
284,4599239
285,3864139
286,5215304
287,10468805
288,6360298
289,13971519
290,6436889
291,6906405
292,5726201
293,3900428
294,4562441
295,4661798
296,3840769
297,2761692
298,12998850
299,10995089
300,3328916
301,6726697
302,5882028
303,4576861
304,5684845
305,6704104
306,4719686
307,6391211
308,4739512
309,11348097
310,6756346
311,6920012
312,6042112
313,5425838
314,7602272
315,5730701
316,6788618
317,9597230
318,7765657
319,6718442
320,4953925
321,4110446
322,6450669
